,Title,Date,URI
0,80uk 존나 좋노 ㄹㅇ,2023.10.10,/b/gaijin/88413480?p=1
1,나 왜이리 미국을 잘 못타지?,2023.10.10,/b/gaijin/88413363?p=1
2,냉전초기가 젤 병신같은 부랄인듯,2023.10.10,/b/gaijin/88413278?p=1
3,아 씨발 못해먹겠네,2023.10.10,/b/gaijin/88413256?p=1
4,그 뭐냐 나만 헬좆 기관포 이상함?,2023.10.10,/b/gaijin/88413186?p=1
5,허리 병원행 후기,2023.10.10,/b/gaijin/88413159?p=1
6,스크린샷 UI 다 나오게는 못 찍음?,2023.10.10,/b/gaijin/88413052?p=1
7,팔공유 형식 정리하고 있는데 얘 뭔지 아는 가붕이 있음?,2023.10.10,/b/gaijin/88412843?p=1
8,근데 탱시뮬 매칭방식 바꾸는건 언제해쭐까,2023.10.10,/b/gaijin/88412744?p=1
9,이럴거면 그냥 링스 BR이라도 내려줬으면,2023.10.10,/b/gaijin/88412716?p=1
10,지상 초기에 진짜 경사장갑이 벼슬이었는데,2023.10.10,/b/gaijin/88412452?p=1
11,소련 항공 연구 진짜 너무 힘들다.,2023.10.10,/b/gaijin/88412294?p=1
12,비행대 수22 탈리박은거 너무 만족스럽네,2023.10.10,/b/gaijin/88412115?p=1
13,근데 보통 탑탱 출시하면 승률이 올라가는 편임?,2023.10.10,/b/gaijin/88411863?p=1
14,빨리 소련헬기나 소련공중을 열긴해야겠다,2023.10.10,/b/gaijin/88411804?p=1
15,센막투덱 새로짜야겠노,2023.10.10,/b/gaijin/88411738?p=1
16,T92랑 m56이 모스트였는데,2023.10.10,/b/gaijin/88411567?p=1
17,스폰안되는 좆버그는 왜 부스터쓰면 걸리냐,2023.10.10,/b/gaijin/88411437?p=1
18,미국 구형전함 화력문제가 유독 체감이 큰게,2023.10.10,/b/gaijin/88411300?p=1
19,...뭐냐?,2023.10.10,/b/gaijin/88411279?p=1
20,헬캣은 솔직히 오를만하긴 했음,2023.10.10,/b/gaijin/88411240?p=1
21,스핏 맠24 FM좋은거 맞냐,2023.10.10,/b/gaijin/88411133?p=1
22,아니 내 센막투가!!,2023.10.10,/b/gaijin/88411083?p=1
23,머릿속을 비우자,2023.10.10,/b/gaijin/88411054?p=1
24,M18 GMC/T1E1 아케 티어가 오른다고?,2023.10.10,/b/gaijin/88410978?p=1
25,스카이호크 ccip없는게 좀 아쉽네,2023.10.10,/b/gaijin/88410917?p=1
26,근데 로켓 퍼싱은 안 올라가지 않았어?,2023.10.10,/b/gaijin/88410912?p=1
27,킴쾨이 존나느리네,2023.10.10,/b/gaijin/88410712?p=1
28,fnf좀 고첫음,2023.10.10,/b/gaijin/88410696?p=1
29,r스ㅇ뚀,2023.10.10,/b/gaijin/88410468?p=1
30,80브븜 대신 90M 이 나왔더라면,2023.10.10,/b/gaijin/88410434?p=1
31,bf110 c7랑 f2얼마차이나는거지,2023.10.10,/b/gaijin/88410238?p=1
32,어떤 탱크를 타는데 느려서 답답하면,2023.10.10,/b/gaijin/88410166?p=1
33,프롭 그만타야겠다,2023.10.10,/b/gaijin/88410154?p=1
34,판치르 기동성은 더 개좆박아졌네,2023.10.10,/b/gaijin/88410066?p=1
35,그녀의 비밀스러운 그곳 노출...,2023.10.10,/b/gaijin/88409993?p=1
36,텍사스 단 3판 만에 진리를 깨달았다,2023.10.10,/b/gaijin/88409910?p=1
37,T-80 계열 타보고 싶은거 참는중임,2023.10.10,/b/gaijin/88409864?p=1
38,나 이거 실제로 처음봐,2023.10.10,/b/gaijin/88409803?p=1
39,가붕 화 내지 말아 들으십시오,2023.10.10,/b/gaijin/88409797?p=1
40,근데 진짜 전투효율성은 뭘까,2023.10.10,/b/gaijin/88409793?p=1
41,5점대 미국 재밌다,2023.10.10,/b/gaijin/88409612?p=1
42,부랄패치되면 미갈 7점대 숨 좀 돌릴 수 있으려나?,2023.10.10,/b/gaijin/88409611?p=1
43,한때 사와E가 최강이었던 시절이 있었는데,2023.10.10,/b/gaijin/88409589?p=1
44,헬기조종 왤케 어렵냐 씨발,2023.10.10,/b/gaijin/88409519?p=1
