,title,date,uri
0,소련 시뮬런 뭐로 돌려?,2023.09.27,/b/gaijin/87274071?p=1
1,레식에 왠 마스터치프냐,2023.09.27,/b/gaijin/87273978?p=1
2,만약 D텀이 나온다면,2023.09.27,/b/gaijin/87273964?p=1
3,우리 E텀은 타게팅 포드 언제쯤 주려나,2023.09.27,/b/gaijin/87273780?p=1
4,조립 이벤트 특,2023.09.27,/b/gaijin/87273640?p=1
5,ccip없찐 얼리독텀도 시뮬런 되냐,2023.09.27,/b/gaijin/87273638?p=1
6,너무 고도에서 쏴서 로켓이 중간에 터지는거였구나,2023.09.27,/b/gaijin/87273607?p=1
7,할인 빨리 했으면 좋겠다,2023.09.27,/b/gaijin/87273602?p=1
8,우리 팀원들은 점령이라는게 뭔지 모르나보네,2023.09.27,/b/gaijin/87273464?p=1
9,시뮬런 무슨 맵으로 해야됨?,2023.09.27,/b/gaijin/87273394?p=1
10,시뮬 로켓런 드디어 감 잡았다,2023.09.27,/b/gaijin/87273198?p=1
11,미사일 고장 부품 잘못 고르면 상자 한개만 주네,2023.09.27,/b/gaijin/87273058?p=1
12,근데 이번 저랭 장비도 비쌀거 같지 않음?,2023.09.27,/b/gaijin/87272949?p=1
13,골멜캅은 진짜 부랄 왜 오른거냐,2023.09.27,/b/gaijin/87272729?p=1
14,현대전 BVR 2짤 요약,2023.09.27,/b/gaijin/87272433?p=1
15,조립이벤 실험발사 그러면,2023.09.27,/b/gaijin/87272310?p=1
16,근데 cv90은 왜 즉응탄 24발 밖에 안했음,2023.09.27,/b/gaijin/87272207?p=1
17,27k로 로켓런할까,2023.09.27,/b/gaijin/87272200?p=1
18,염병 ㅅㅂ,2023.09.27,/b/gaijin/87272030?p=1
19,c텀은 기만체좀 줄만하지않나,2023.09.27,/b/gaijin/87272005?p=1
20,핑을 찍어줘도 뒤를 안 보네,2023.09.27,/b/gaijin/87271966?p=1
21,R73어떻게 쓰는거임?,2023.09.27,/b/gaijin/87271957?p=1
22,90120에다 스톡 골박만 할까 탈리를 박을까,2023.09.27,/b/gaijin/87271932?p=1
23,HMD를 VR썬더에서 써보면 존나 개쩔듯,2023.09.27,/b/gaijin/87271908?p=1
24,그것은 샀다,2023.09.27,/b/gaijin/87271742?p=1
25,지금 뱅리얼 꼬라지 개웃기네ㅋㅋ,2023.09.27,/b/gaijin/87271456?p=1
26,오늘의 배썬더,2023.09.27,/b/gaijin/87271277?p=1
27,라팔 vs 슈호넷,2023.09.27,/b/gaijin/87271102?p=1
28,이번 조립 가격 좆박을 거 같은데,2023.09.27,/b/gaijin/87270815?p=1
29,신규 데칼!,2023.09.27,/b/gaijin/87270730?p=1
30,인트루더 캐스 진짜 뽕맛 개쩐다 이게 미갈의 힘인가?,2023.09.27,/b/gaijin/87270672?p=1
31,솔직히 로사트 가스라이팅 같으면 개추 ㅋㅋ,2023.09.27,/b/gaijin/87270620?p=1
32,뭐야 3개 더먹음,2023.09.27,/b/gaijin/87270565?p=1
33,저거 결함 찾기 진짜 ㅈ같이도 해놨다,2023.09.27,/b/gaijin/87270515?p=1
34,저 미니 게임도 병신같은게,2023.09.27,/b/gaijin/87270427?p=1
35,이번에 나온 로토스인가 시험주행은 이상하네,2023.09.27,/b/gaijin/87270313?p=1
36,조립 추석 껴서 많이 못달리노 ㅅㅂ,2023.09.27,/b/gaijin/87270186?p=1
37,진짜 구름패치 역대급으로 불쾌하네,2023.09.27,/b/gaijin/87270040?p=1
38,SMT가 현역인 이유,2023.09.27,/b/gaijin/87269913?p=1
39,조립할만함?,2023.09.27,/b/gaijin/87269605?p=1
40,하 씨발 존나 열받네,2023.09.27,/b/gaijin/87269559?p=1
41,이밴트 어째 하루만에 만들어지더라 시팔ㅋㅋ,2023.09.27,/b/gaijin/87269492?p=1
42,탑방 개좆같네,2023.09.27,/b/gaijin/87269399?p=1
43,난 절대로 “뷰가 좋은 해안가”에서 숙영 안할듯,2023.09.27,/b/gaijin/87269303?p=1
44,근데 부품 선택할 때 어떻게해야되는거임?,2023.09.27,/b/gaijin/87269295?p=1
